"plot","area","date","month","temp","prec","evapo","soil_moist"
"PF01","Eifel",1991-01-01,1,0.1,132,95,109
"PF01","Eifel",1991-02-01,2,-2.8,34,94,103
"PF01","Eifel",1991-03-01,3,5.8,41,346,98
"PF01","Eifel",1991-04-01,4,5.2,75,572,85
"PF01","Eifel",1991-05-01,5,7.6,37,662,87
"PF01","Eifel",1991-06-01,6,10.5,99,661,81
"PF01","Eifel",1991-07-01,7,16.9,69,1079,73
"PF01","Eifel",1991-08-01,8,16.1,45,910,59
"PF01","Eifel",1991-09-01,9,13.3,44,553,51
"PF01","Eifel",1991-10-01,10,7.4,57,206,89
"PF01","Eifel",1991-11-01,11,2.8,156,98,111
"PF01","Eifel",1991-12-01,12,0.4,170,63,106
"PF01","Eifel",1992-01-01,1,0,51,66,104
"PF01","Eifel",1992-02-01,2,2.2,81,152,105
"PF01","Eifel",1992-03-01,3,3.8,174,309,106
"PF01","Eifel",1992-04-01,4,5.9,63,489,101
"PF01","Eifel",1992-05-01,5,12.5,53,957,90
"PF01","Eifel",1992-06-01,6,13.9,107,778,84
"PF01","Eifel",1992-07-01,7,16.2,79,868,89
"PF01","Eifel",1992-08-01,8,16.3,128,734,85
"PF01","Eifel",1992-09-01,9,11.8,54,403,107
"PF01","Eifel",1992-10-01,10,5,131,166,109
"PF01","Eifel",1992-11-01,11,4.5,129,124,112
"PF01","Eifel",1992-12-01,12,0.9,82,64,108
"PF01","Eifel",1993-01-01,1,2.2,185,131,109
"PF01","Eifel",1993-02-01,2,-1.5,62,56,104
"PF01","Eifel",1993-03-01,3,3,13,336,97
"PF01","Eifel",1993-04-01,4,8.6,55,631,94
"PF01","Eifel",1993-05-01,5,12,72,798,90
"PF01","Eifel",1993-06-01,6,14.1,30,855,76
"PF01","Eifel",1993-07-01,7,14.2,100,819,70
"PF01","Eifel",1993-08-01,8,13.6,30,693,77
"PF01","Eifel",1993-09-01,9,10.6,154,343,98
"PF01","Eifel",1993-10-01,10,6.4,116,187,108
"PF01","Eifel",1993-11-01,11,-0.4,67,70,104
"PF01","Eifel",1993-12-01,12,2.1,321,72,115
"PF01","Eifel",1994-01-01,1,1.6,170,80,112
"PF01","Eifel",1994-02-01,2,-0.3,37,80,105
"PF01","Eifel",1994-03-01,3,5,171,330,107
"PF01","Eifel",1994-04-01,4,5.7,106,491,103
"PF01","Eifel",1994-05-01,5,10.1,71,626,89
"PF01","Eifel",1994-06-01,6,14.1,75,941,91
"PF01","Eifel",1994-07-01,7,19.6,40,1132,67
"PF01","Eifel",1994-08-01,8,15.5,83,689,73
"PF01","Eifel",1994-09-01,9,11.2,120,319,102
"PF01","Eifel",1994-10-01,10,7.3,86,248,103
"PF01","Eifel",1994-11-01,11,7.2,85,116,108
"PF01","Eifel",1994-12-01,12,2.8,173,93,108
"PF01","Eifel",1995-01-01,1,0.1,276,106,114
"PF01","Eifel",1995-02-01,2,3.4,131,168,111
"PF01","Eifel",1995-03-01,3,1.9,135,319,108
"PF01","Eifel",1995-04-01,4,6.7,90,433,103
"PF01","Eifel",1995-05-01,5,10.8,48,772,88
"PF01","Eifel",1995-06-01,6,12.3,88,746,92
"PF01","Eifel",1995-07-01,7,18.5,108,1075,72
"PF01","Eifel",1995-08-01,8,17,44,905,55
"PF01","Eifel",1995-09-01,9,10.9,76,335,78
"PF01","Eifel",1995-10-01,10,11.2,29,230,94
"PF01","Eifel",1995-11-01,11,3.4,76,89,100
"PF01","Eifel",1995-12-01,12,-2,71,22,105
"PF01","Eifel",1996-01-01,1,-1.6,10,32,102
"PF01","Eifel",1996-02-01,2,-2.2,94,69,107
"PF01","Eifel",1996-03-01,3,0.6,42,194,99
"PF01","Eifel",1996-04-01,4,7.1,9,668,87
"PF01","Eifel",1996-05-01,5,8.5,99,583,82
"PF01","Eifel",1996-06-01,6,13.7,34,905,66
"PF01","Eifel",1996-07-01,7,14.1,53,865,67
"PF01","Eifel",1996-08-01,8,14.8,171,753,61
"PF01","Eifel",1996-09-01,9,9.6,52,351,92
"PF01","Eifel",1996-10-01,10,8.1,103,224,100
"PF01","Eifel",1996-11-01,11,2.6,111,84,110
"PF01","Eifel",1996-12-01,12,-2.6,65,24,106
"PF01","Eifel",1997-01-01,1,-3,9,58,102
"PF01","Eifel",1997-02-01,2,3.2,155,225,109
"PF01","Eifel",1997-03-01,3,5.6,76,363,101
"PF01","Eifel",1997-04-01,4,5,85,563,92
"PF01","Eifel",1997-05-01,5,10.4,126,830,99
"PF01","Eifel",1997-06-01,6,13.2,137,851,96
"PF01","Eifel",1997-07-01,7,14.7,118,848,96
"PF01","Eifel",1997-08-01,8,18.1,40,912,70
"PF01","Eifel",1997-09-01,9,12.3,31,504,69
"PF01","Eifel",1997-10-01,10,7,80,261,84
"PF01","Eifel",1997-11-01,11,3.7,63,108,101
"PF01","Eifel",1997-12-01,12,1.6,148,72,109
"PF01","Eifel",1998-01-01,1,1.2,120,129,108
"PF01","Eifel",1998-02-01,2,3.6,21,188,98
"PF01","Eifel",1998-03-01,3,4.2,143,327,104
"PF01","Eifel",1998-04-01,4,6.2,125,408,106
"PF01","Eifel",1998-05-01,5,12.4,71,848,85
"PF01","Eifel",1998-06-01,6,14,83,844,92
"PF01","Eifel",1998-07-01,7,13.8,67,701,84
"PF01","Eifel",1998-08-01,8,15.1,77,779,73
"PF01","Eifel",1998-09-01,9,12.1,207,368,105
"PF01","Eifel",1998-10-01,10,7.1,251,188,113
"PF01","Eifel",1998-11-01,11,0.3,92,67,108
"PF01","Eifel",1998-12-01,12,1.1,94,73,107
"PF01","Eifel",1999-01-01,1,2.1,169,112,109
"PF01","Eifel",1999-02-01,2,-0.5,199,75,110
"PF01","Eifel",1999-03-01,3,4.5,107,337,104
"PF01","Eifel",1999-04-01,4,7,114,530,100
"PF01","Eifel",1999-05-01,5,12.1,54,845,82
"PF01","Eifel",1999-06-01,6,13,70,842,69
"PF01","Eifel",1999-07-01,7,17.1,41,1044,62
"PF01","Eifel",1999-08-01,8,15.4,73,773,62
"PF01","Eifel",1999-09-01,9,15.4,91,591,61
"PF01","Eifel",1999-10-01,10,7.8,71,226,94
"PF01","Eifel",1999-11-01,11,2.3,97,76,103
"PF01","Eifel",1999-12-01,12,1,257,66,113
"PF01","Eifel",2000-01-01,1,0.6,81,57,105
"PF01","Eifel",2000-02-01,2,2.6,148,183,110
"PF01","Eifel",2000-03-01,3,3.8,100,247,107
"PF01","Eifel",2000-04-01,4,7.9,56,621,99
"PF01","Eifel",2000-05-01,5,12.3,89,800,97
"PF01","Eifel",2000-06-01,6,14.6,70,1050,87
"PF01","Eifel",2000-07-01,7,12.6,188,615,105
"PF01","Eifel",2000-08-01,8,15.6,64,778,91
