"plot","year","SOS_doy","EOS_doy","conv"
"PF01",2000,117,294,TRUE
"PF01",2001,152,314,TRUE
"PF01",2002,92,312,TRUE
"PF01",2003,152,294,TRUE
"PF01",2004,92,276,TRUE
"PF01",2005,110,312,TRUE
"PF01",2006,108,284,TRUE
"PF01",2007,108,291,TRUE
"PF01",2008,102,318,TRUE
"PF01",2009,128,276,TRUE
"PF01",2010,134,294,TRUE
"PF01",2011,122,324,TRUE
"PF01",2012,132,264,TRUE
"PF01",2013,120,291,TRUE
"PF01",2014,138,326,TRUE
"PF01",2015,105,282,TRUE
"PF01",2016,NA,NA,TRUE
"PF01",2017,132,318,TRUE
"PF01",2018,80,294,TRUE
"PF01",2019,120,296,TRUE
"PF01",2020,96,288,TRUE
"PF01",2021,102,318,TRUE
"PF01",2022,98,314,TRUE
"PF02",2000,92,312,TRUE
"PF02",2001,102,302,TRUE
"PF02",2002,117,326,TRUE
"PF02",2003,96,312,TRUE
"PF02",2004,110,318,TRUE
"PF02",2005,105,330,TRUE
"PF02",2006,105,330,TRUE
"PF02",2007,98,326,TRUE
"PF02",2008,102,294,TRUE
"PF02",2009,102,324,TRUE
"PF02",2010,122,291,TRUE
"PF02",2011,98,272,TRUE
"PF02",2012,110,294,TRUE
"PF02",2013,108,306,TRUE
"PF02",2014,102,272,TRUE
"PF02",2015,98,314,TRUE
"PF02",2016,102,330,TRUE
"PF02",2017,105,312,TRUE
"PF02",2018,92,324,TRUE
"PF02",2019,98,324,TRUE
"PF02",2020,108,291,TRUE
"PF02",2021,108,302,TRUE
"PF02",2022,102,291,TRUE
"PF03",2000,92,314,TRUE
"PF03",2001,102,302,TRUE
"PF03",2002,117,324,TRUE
"PF03",2003,96,312,TRUE
"PF03",2004,110,318,TRUE
"PF03",2005,108,324,TRUE
"PF03",2006,108,330,TRUE
"PF03",2007,98,324,TRUE
"PF03",2008,102,288,TRUE
"PF03",2009,98,324,TRUE
"PF03",2010,122,291,TRUE
"PF03",2011,98,266,TRUE
"PF03",2012,102,314,TRUE
"PF03",2013,108,306,TRUE
"PF03",2014,98,270,TRUE
"PF03",2015,98,312,TRUE
"PF03",2016,98,330,TRUE
"PF03",2017,105,312,TRUE
"PF03",2018,92,324,TRUE
"PF03",2019,98,324,TRUE
"PF03",2020,108,330,TRUE
"PF03",2021,110,302,TRUE
"PF03",2022,102,291,TRUE
"SF01",2000,96,306,TRUE
"SF01",2001,108,278,TRUE
"SF01",2002,108,318,TRUE
"SF01",2003,96,308,TRUE
"SF01",2004,108,318,TRUE
"SF01",2005,120,296,TRUE
"SF01",2006,110,284,TRUE
"SF01",2007,96,284,TRUE
"SF01",2008,92,324,TRUE
"SF01",2009,105,276,TRUE
"SF01",2010,96,308,TRUE
"SF01",2011,98,324,TRUE
"SF01",2012,92,314,TRUE
"SF01",2013,117,291,TRUE
"SF01",2014,105,326,TRUE
"SF01",2015,110,296,TRUE
"SF01",2016,108,308,TRUE
"SF01",2017,102,308,TRUE
"SF01",2018,98,270,TRUE
"SF01",2019,108,288,TRUE
"SF01",2020,98,330,TRUE
"SF01",2021,98,314,TRUE
"SF01",2022,96,288,TRUE
"SF02",2000,105,326,TRUE
"SF02",2001,96,308,TRUE
"SF02",2002,108,314,TRUE
"SF02",2003,114,318,TRUE
"SF02",2004,105,314,TRUE
"SF02",2005,105,294,TRUE
"SF02",2006,105,324,TRUE
"SF02",2007,102,326,TRUE
"SF02",2008,102,302,TRUE
"SF02",2009,98,308,TRUE
"SF02",2010,105,282,TRUE
"SF02",2011,92,291,TRUE
"SF02",2012,108,326,TRUE
"SF02",2013,96,324,TRUE
